Wiener,Randich
32.000,2.770
50.000,3.308
29.000,2.643
64.000,3.932
88.000,4.305
242.000,5.932
42.000,3.394
121.000,4.843
133.000,4.932
182.000,5.432
56.000,3.414
18.000,2.270
84.000,3.914
35.000,2.914
56.000,3.414
35.000,2.914
42.000,3.394
121.000,4.843
64.000,3.932
88.000,4.305
114.000,4.605
133.000,4.932
94.000,4.432
182.000,5.432
242.000,5.932
61.000,3.788
1260.000,11.933
4.000,1.414
1.000,1.000
20.000,2.414
56.000,3.414
35.000,2.914
31.000,2.808
10.000,1.914
18.000,2.270
42.000,3.394
459.000,7.771
64.000,3.932
88.000,4.394
163.000,5.796
64.000,3.932
48.000,3.346
9.000,1.732
18.000,2.270
58.000,3.250
18.000,2.270
31.000,2.808
16.000,2.000
9.000,1.732
64.000,3.932
88.000,4.305
9.000,1.732
18.000,2.270
48.000,3.126
48.000,3.126
295.000,6.702
912.000,9.702
2388.000,13.566
32.000,2.770
41.000,3.288
9.000,1.732
27.000,3.000
18.000,2.270
1261.000,11.603
1027.000,10.781
5886.000,19.653
2393.000,14.796
4605.000,18.865
26820.000,31.907
29676.000,33.550
31586.000,34.715
36459.000,37.546
13945.000,27.670
13725.000,27.759
28782.000,33.475
15557.000,26.764
14405.000,26.781
14733.000,28.798
14958.000,27.247
21678.000,32.429
24054.000,34.731
18.000,2.270
4.000,1.414
42.000,3.394
27.000,3.000
4.000,1.414
28.000,2.561
878.000,9.414
18.000,2.270
60.000,3.805
29.000,2.643
10.000,1.914
20.000,2.414
315.000,6.860
3642.000,17.848
44314.000,39.272
31344.000,34.407
14745.000,27.806
14981.000,26.764
28873.000,35.680
16926.000,29.979
24534.000,34.697
8339.000,22.832
