Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.97500,61,0.98795,1.00000,0.94737,0.97297,21.83171s,22,0.87912,0.87671,0.96970,0.92086,4.76863s,38,0.83117,0.83544,0.71739,0.77193,16.06077s
100,10,3,0.98500,63,1.00000,1.00000,1.00000,1.00000,24.05803s,43,0.93407,0.92857,0.98485,0.95588,7.14491s,53,0.83550,0.80682,0.77174,0.78889,30.82037s
100,10,3,0.99500,73,1.00000,1.00000,1.00000,1.00000,25.92232s,48,0.93407,0.92857,0.98485,0.95588,7.65291s,61,0.83117,0.80460,0.76087,0.78212,32.86525s
100,10,6,0.97500,61,0.98795,1.00000,0.94737,0.97297,32.29048s,21,0.87912,0.87671,0.96970,0.92086,15.06109s,37,0.83550,0.83750,0.72826,0.77907,35.75687s
100,10,6,0.98500,61,0.98795,1.00000,0.94737,0.97297,33.14960s,43,0.93407,0.92857,0.98485,0.95588,16.93086s,49,0.83550,0.80682,0.77174,0.78889,37.40006s
100,10,6,0.99500,73,1.00000,1.00000,1.00000,1.00000,36.24114s,49,0.94505,0.95522,0.96970,0.96241,17.20519s,61,0.83117,0.80460,0.76087,0.78212,51.43580s
100,10,9,0.97500,59,0.98795,1.00000,0.94737,0.97297,52.33641s,21,0.87912,0.87671,0.96970,0.92086,32.91134s,38,0.83117,0.83544,0.71739,0.77193,70.63019s
100,10,9,0.98500,61,0.98795,1.00000,0.94737,0.97297,53.29915s,43,0.93407,0.92857,0.98485,0.95588,34.36803s,50,0.83550,0.80682,0.77174,0.78889,71.95142s
100,10,9,0.99500,73,1.00000,1.00000,1.00000,1.00000,56.56253s,49,0.94505,0.95522,0.96970,0.96241,34.37918s,61,0.83117,0.80460,0.76087,0.78212,87.49462s
100,10,12,0.97500,61,0.98795,1.00000,0.94737,0.97297,82.49197s,21,0.87912,0.87671,0.96970,0.92086,58.69503s,38,0.83117,0.83544,0.71739,0.77193,120.26136s
100,10,12,0.98500,61,0.98795,1.00000,0.94737,0.97297,82.63138s,43,0.93407,0.92857,0.98485,0.95588,59.51043s,51,0.83550,0.80682,0.77174,0.78889,133.57583s
100,10,12,0.99500,74,1.00000,1.00000,1.00000,1.00000,85.53699s,49,0.93407,0.92857,0.98485,0.95588,59.40695s,61,0.83117,0.80460,0.76087,0.78212,136.97334s
100,10,15,0.97500,61,0.98795,1.00000,0.94737,0.97297,120.82858s,20,0.87912,0.87671,0.96970,0.92086,92.75938s,39,0.82684,0.83333,0.70652,0.76471,184.90564s
100,10,15,0.98500,61,0.98795,1.00000,0.94737,0.97297,120.48861s,44,0.94505,0.95522,0.96970,0.96241,91.93759s,50,0.83550,0.80682,0.77174,0.78889,185.10124s
100,10,15,0.99500,74,1.00000,1.00000,1.00000,1.00000,123.88830s,49,0.93407,0.92857,0.98485,0.95588,92.86018s,61,0.83117,0.80460,0.76087,0.78212,201.96597s
100,10,18,0.97500,61,0.98795,1.00000,0.94737,0.97297,165.88592s,21,0.87912,0.87671,0.96970,0.92086,132.88120s,51,0.83983,0.85714,0.71739,0.78107,275.66465s
100,10,18,0.98500,61,0.98795,1.00000,0.94737,0.97297,167.59501s,45,0.93407,0.92857,0.98485,0.95588,132.21728s,52,0.84848,0.82022,0.79348,0.80663,276.99491s
100,10,18,0.99500,74,1.00000,1.00000,1.00000,1.00000,171.46245s,48,0.93407,0.92857,0.98485,0.95588,133.41202s,62,0.83983,0.82353,0.76087,0.79096,282.58216s
100,15,3,0.97500,61,0.98795,1.00000,0.94737,0.97297,26.36327s,22,0.87912,0.87671,0.96970,0.92086,7.55663s,38,0.83117,0.83544,0.71739,0.77193,24.58814s
100,15,3,0.98500,63,1.00000,1.00000,1.00000,1.00000,26.25237s,43,0.93407,0.92857,0.98485,0.95588,11.19366s,53,0.83550,0.80682,0.77174,0.78889,38.12015s
100,15,3,0.99500,73,1.00000,1.00000,1.00000,1.00000,29.57888s,48,0.93407,0.92857,0.98485,0.95588,11.37312s,61,0.83117,0.80460,0.76087,0.78212,40.66767s
100,15,6,0.97500,61,0.98795,1.00000,0.94737,0.97297,43.64712s,21,0.87912,0.87671,0.96970,0.92086,23.53491s,37,0.83550,0.83750,0.72826,0.77907,55.51086s
100,15,6,0.98500,61,0.98795,1.00000,0.94737,0.97297,44.26247s,43,0.93407,0.92857,0.98485,0.95588,26.53556s,49,0.83550,0.80682,0.77174,0.78889,56.74988s
100,15,6,0.99500,73,1.00000,1.00000,1.00000,1.00000,47.19909s,49,0.94505,0.95522,0.96970,0.96241,26.89590s,61,0.83117,0.80460,0.76087,0.78212,72.05535s
100,15,9,0.97500,59,0.98795,1.00000,0.94737,0.97297,74.72646s,21,0.87912,0.87671,0.96970,0.92086,51.53970s,38,0.83117,0.83544,0.71739,0.77193,108.58651s
100,15,9,0.98500,61,0.98795,1.00000,0.94737,0.97297,76.81932s,43,0.93407,0.92857,0.98485,0.95588,54.00890s,51,0.83550,0.80682,0.77174,0.78889,124.16497s
