Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.97000,87,1.00000,1.00000,1.00000,1.00000,42.54811s,17,0.92308,0.90411,1.00000,0.94964,11.32818s,76,0.87446,0.93151,0.73913,0.82424,62.29382s
100,10,3,0.98000,99,1.00000,1.00000,1.00000,1.00000,49.28034s,35,0.92308,0.90411,1.00000,0.94964,15.84739s,74,0.85281,0.88158,0.72826,0.79762,63.60234s
100,10,3,0.99000,98,0.98795,1.00000,0.94737,0.97297,48.84518s,72,0.95604,0.95588,0.98485,0.97015,36.87458s,98,0.87446,0.90909,0.76087,0.82840,71.46998s
100,10,6,0.97000,90,1.00000,1.00000,1.00000,1.00000,67.05284s,17,0.92308,0.90411,1.00000,0.94964,33.63529s,74,0.87879,0.93243,0.75000,0.83133,104.76812s
100,10,6,0.98000,101,1.00000,1.00000,1.00000,1.00000,77.29930s,35,0.92308,0.90411,1.00000,0.94964,37.70516s,71,0.85714,0.89333,0.72826,0.80240,106.06971s
100,10,6,0.99000,104,0.98795,1.00000,0.94737,0.97297,75.46369s,72,0.95604,0.95588,0.98485,0.97015,59.25058s,98,0.87879,0.91026,0.77174,0.83529,116.24085s
100,10,9,0.97000,89,1.00000,1.00000,1.00000,1.00000,116.29630s,17,0.92308,0.90411,1.00000,0.94964,73.78942s,75,0.87446,0.93151,0.73913,0.82424,183.59415s
100,10,9,0.98000,99,1.00000,1.00000,1.00000,1.00000,118.80989s,34,0.92308,0.90411,1.00000,0.94964,77.91679s,70,0.84848,0.88000,0.71739,0.79042,183.08533s
100,10,9,0.99000,99,0.98795,1.00000,0.94737,0.97297,121.26020s,71,0.95604,0.95588,0.98485,0.97015,99.56304s,98,0.87879,0.91026,0.77174,0.83529,192.94627s
100,10,12,0.97000,91,1.00000,1.00000,1.00000,1.00000,182.67261s,16,0.89011,0.88889,0.96970,0.92754,131.78144s,73,0.87013,0.93056,0.72826,0.81707,294.55390s
100,10,12,0.98000,103,1.00000,1.00000,1.00000,1.00000,189.15493s,35,0.92308,0.90411,1.00000,0.94964,135.44708s,71,0.84848,0.88000,0.71739,0.79042,293.97071s
100,10,12,0.99000,103,1.00000,1.00000,1.00000,1.00000,190.04361s,72,0.95604,0.95588,0.98485,0.97015,157.64348s,98,0.87879,0.91026,0.77174,0.83529,304.84444s
100,10,15,0.97000,89,1.00000,1.00000,1.00000,1.00000,265.96434s,17,0.92308,0.90411,1.00000,0.94964,203.94348s,75,0.87013,0.93056,0.72826,0.81707,437.01429s
100,10,15,0.98000,102,1.00000,1.00000,1.00000,1.00000,273.58277s,35,0.92308,0.90411,1.00000,0.94964,208.25927s,70,0.84848,0.88000,0.71739,0.79042,437.28824s
100,10,15,0.99000,106,1.00000,1.00000,1.00000,1.00000,279.73017s,69,0.95604,0.95588,0.98485,0.97015,230.36971s,98,0.87879,0.91026,0.77174,0.83529,449.05866s
100,10,18,0.97000,91,1.00000,1.00000,1.00000,1.00000,374.56361s,17,0.92308,0.90411,1.00000,0.94964,296.13921s,72,0.87013,0.93056,0.72826,0.81707,611.57395s
100,10,18,0.98000,99,1.00000,1.00000,1.00000,1.00000,381.68154s,34,0.92308,0.90411,1.00000,0.94964,303.89091s,70,0.84848,0.88000,0.71739,0.79042,620.48648s
100,10,18,0.99000,101,0.98795,1.00000,0.94737,0.97297,382.05600s,70,0.95604,0.95588,0.98485,0.97015,322.02700s,98,0.87879,0.91026,0.77174,0.83529,625.63963s
100,15,3,0.97000,87,1.00000,1.00000,1.00000,1.00000,50.14711s,17,0.92308,0.90411,1.00000,0.94964,17.88508s,76,0.87446,0.93151,0.73913,0.82424,83.68796s
100,15,3,0.98000,99,1.00000,1.00000,1.00000,1.00000,55.38769s,35,0.92308,0.90411,1.00000,0.94964,24.04486s,74,0.85281,0.88158,0.72826,0.79762,83.89814s
100,15,3,0.99000,98,0.98795,1.00000,0.94737,0.97297,56.10141s,72,0.95604,0.95588,0.98485,0.97015,45.29985s,98,0.87446,0.90909,0.76087,0.82840,93.28029s
100,15,6,0.97000,90,1.00000,1.00000,1.00000,1.00000,92.69941s,17,0.92308,0.90411,1.00000,0.94964,53.55383s,74,0.87879,0.93243,0.75000,0.83133,152.72653s
100,15,6,0.98000,101,1.00000,1.00000,1.00000,1.00000,99.80576s,35,0.92308,0.90411,1.00000,0.94964,60.11109s,71,0.84848,0.88000,0.71739,0.79042,154.07687s
100,15,6,0.99000,104,0.98795,1.00000,0.94737,0.97297,102.31301s,72,0.95604,0.95588,0.98485,0.97015,82.51578s,98,0.87879,0.91026,0.77174,0.83529,163.73702s
