Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.97000,101,1.00000,1.00000,1.00000,1.00000,57.43562s,17,0.91209,0.89189,1.00000,0.94286,14.19707s,81,0.87013,0.90789,0.75000,0.82143,74.76652s
100,10,3,0.98000,87,0.98795,1.00000,0.94737,0.97297,49.72262s,27,0.91209,0.89189,1.00000,0.94286,19.60365s,68,0.84848,0.91304,0.68478,0.78261,73.95123s
100,10,3,0.99000,90,0.98795,1.00000,0.94737,0.97297,49.89827s,75,0.94505,0.92958,1.00000,0.96350,42.42475s,98,0.86147,0.89474,0.73913,0.80952,86.56271s
100,10,6,0.97000,101,1.00000,1.00000,1.00000,1.00000,86.62917s,17,0.91209,0.89189,1.00000,0.94286,40.77427s,80,0.85281,0.91429,0.69565,0.79012,127.77754s
100,10,6,0.98000,89,0.98795,1.00000,0.94737,0.97297,77.37253s,28,0.91209,0.89189,1.00000,0.94286,45.37584s,69,0.85281,0.91429,0.69565,0.79012,126.91223s
100,10,6,0.99000,91,0.98795,1.00000,0.94737,0.97297,78.80071s,75,0.94505,0.92958,1.00000,0.96350,68.33758s,97,0.85714,0.85542,0.77174,0.81143,137.80112s
100,10,9,0.97000,102,1.00000,1.00000,1.00000,1.00000,140.47808s,17,0.91209,0.89189,1.00000,0.94286,85.40313s,81,0.87446,0.90909,0.76087,0.82840,217.46595s
100,10,9,0.98000,90,0.98795,1.00000,0.94737,0.97297,134.40923s,28,0.91209,0.89189,1.00000,0.94286,91.54758s,67,0.85714,0.91549,0.70652,0.79755,217.55936s
100,10,9,0.99000,91,0.98795,1.00000,0.94737,0.97297,134.24276s,70,0.95604,0.94286,1.00000,0.97059,112.65222s,96,0.85281,0.89189,0.71739,0.79518,227.00492s
100,10,12,0.97000,101,1.00000,1.00000,1.00000,1.00000,219.99692s,17,0.91209,0.89189,1.00000,0.94286,151.09390s,81,0.87446,0.90909,0.76087,0.82840,349.55971s
100,10,12,0.98000,89,0.98795,1.00000,0.94737,0.97297,212.66595s,28,0.91209,0.89189,1.00000,0.94286,156.80450s,68,0.85714,0.91549,0.70652,0.79755,349.62315s
100,10,12,0.99000,90,0.98795,1.00000,0.94737,0.97297,213.49851s,69,0.94505,0.92958,1.00000,0.96350,177.73309s,98,0.85714,0.85542,0.77174,0.81143,358.49867s
100,10,15,0.97000,101,1.00000,1.00000,1.00000,1.00000,325.19840s,17,0.91209,0.89189,1.00000,0.94286,237.25524s,81,0.87446,0.90909,0.76087,0.82840,519.74839s
100,10,15,0.98000,89,0.98795,1.00000,0.94737,0.97297,320.96212s,28,0.91209,0.89189,1.00000,0.94286,245.32696s,67,0.85714,0.91549,0.70652,0.79755,521.38509s
100,10,15,0.99000,91,0.98795,1.00000,0.94737,0.97297,318.97842s,70,0.94505,0.92958,1.00000,0.96350,263.14307s,96,0.85281,0.89189,0.71739,0.79518,526.24237s
100,10,18,0.97000,102,1.00000,1.00000,1.00000,1.00000,448.89286s,17,0.91209,0.89189,1.00000,0.94286,336.96167s,76,0.86147,0.86585,0.77174,0.81609,721.62142s
100,10,18,0.98000,89,0.98795,1.00000,0.94737,0.97297,444.11712s,28,0.91209,0.89189,1.00000,0.94286,346.40121s,67,0.85714,0.91549,0.70652,0.79755,722.70579s
100,10,18,0.99000,90,0.98795,1.00000,0.94737,0.97297,449.57326s,71,0.94505,0.92958,1.00000,0.96350,372.31592s,96,0.85281,0.89189,0.71739,0.79518,740.71477s
100,15,3,0.97000,101,1.00000,1.00000,1.00000,1.00000,64.65241s,17,0.91209,0.89189,1.00000,0.94286,21.46641s,81,0.87013,0.90789,0.75000,0.82143,102.87814s
100,15,3,0.98000,87,0.98795,1.00000,0.94737,0.97297,58.43418s,27,0.91209,0.89189,1.00000,0.94286,29.42558s,68,0.85281,0.92647,0.68478,0.78750,100.22793s
100,15,3,0.99000,90,0.98795,1.00000,0.94737,0.97297,59.13082s,75,0.94505,0.92958,1.00000,0.96350,53.01508s,98,0.86147,0.89474,0.73913,0.80952,111.64144s
100,15,6,0.97000,101,1.00000,1.00000,1.00000,1.00000,115.99479s,17,0.91209,0.89189,1.00000,0.94286,62.93368s,80,0.85281,0.91429,0.69565,0.79012,184.25633s
100,15,6,0.98000,89,0.98795,1.00000,0.94737,0.97297,107.88634s,28,0.91209,0.89189,1.00000,0.94286,69.37051s,69,0.85281,0.91429,0.69565,0.79012,182.37216s
100,15,6,0.99000,91,0.98795,1.00000,0.94737,0.97297,110.25794s,76,0.94505,0.92958,1.00000,0.96350,95.53941s,97,0.85714,0.85542,0.77174,0.81143,190.14924s
100,15,9,0.97000,102,1.00000,1.00000,1.00000,1.00000,202.63467s,17,0.91209,0.89189,1.00000,0.94286,134.29104s,81,0.87446,0.90909,0.76087,0.82840,327.27770s
100,15,9,0.98000,90,0.98795,1.00000,0.94737,0.97297,194.22875s,28,0.91209,0.89189,1.00000,0.94286,140.37228s,67,0.85714,0.91549,0.70652,0.79755,322.44494s
100,15,9,0.99000,91,0.98795,1.00000,0.94737,0.97297,196.45467s,70,0.95604,0.94286,1.00000,0.97059,166.25026s,96,0.85281,0.89189,0.71739,0.79518,335.75679s
100,15,12,0.97000,101,1.00000,1.00000,1.00000,1.00000,326.96139s,17,0.91209,0.89189,1.00000,0.94286,237.12379s,81,0.87446,0.90909,0.76087,0.82840,532.85940s
100,15,12,0.98000,89,0.98795,1.00000,0.94737,0.97297,321.90566s,28,0.91209,0.89189,1.00000,0.94286,244.57602s,68,0.85714,0.91549,0.70652,0.79755,529.75154s
100,15,12,0.99000,90,0.98795,1.00000,0.94737,0.97297,321.91347s,69,0.94505,0.92958,1.00000,0.96350,268.12321s,98,0.85714,0.85542,0.77174,0.81143,541.61516s
100,15,15,0.97000,101,1.00000,1.00000,1.00000,1.00000,487.05670s,17,0.91209,0.89189,1.00000,0.94286,366.06548s,81,0.87446,0.90909,0.76087,0.82840,795.12804s
100,15,15,0.98000,89,0.98795,1.00000,0.94737,0.97297,483.68819s,28,0.91209,0.89189,1.00000,0.94286,378.76959s,67,0.85714,0.91549,0.70652,0.79755,793.42979s
100,15,15,0.99000,91,0.98795,1.00000,0.94737,0.97297,485.23149s,70,0.94505,0.92958,1.00000,0.96350,401.68009s,96,0.85281,0.89189,0.71739,0.79518,806.07783s
100,15,18,0.97000,102,1.00000,1.00000,1.00000,1.00000,682.65304s,17,0.91209,0.89189,1.00000,0.94286,525.66820s,76,0.86147,0.86585,0.77174,0.81609,1108.43466s
100,15,18,0.98000,89,0.98795,1.00000,0.94737,0.97297,677.95857s,28,0.91209,0.89189,1.00000,0.94286,536.94973s,67,0.85281,0.91429,0.69565,0.79012,1115.66979s
100,15,18,0.99000,90,0.98795,1.00000,0.94737,0.97297,681.74145s,71,0.94505,0.92958,1.00000,0.96350,562.70922s,96,0.85281,0.89189,0.71739,0.79518,1124.37152s
100,20,3,0.97000,101,1.00000,1.00000,1.00000,1.00000,77.10815s,17,0.91209,0.89189,1.00000,0.94286,27.97944s,81,0.87013,0.90789,0.75000,0.82143,128.16571s
100,20,3,0.98000,87,0.98795,1.00000,0.94737,0.97297,70.17504s,27,0.91209,0.89189,1.00000,0.94286,38.97764s,68,0.85281,0.92647,0.68478,0.78750,126.76204s
100,20,3,0.99000,90,0.98795,1.00000,0.94737,0.97297,71.37694s,75,0.94505,0.92958,1.00000,0.96350,66.50431s,98,0.86147,0.89474,0.73913,0.80952,136.88523s
100,20,6,0.97000,101,1.00000,1.00000,1.00000,1.00000,145.50298s,17,0.91209,0.89189,1.00000,0.94286,84.10190s,80,0.85281,0.91429,0.69565,0.79012,241.43320s
100,20,6,0.98000,89,0.98795,1.00000,0.94737,0.97297,137.74214s,28,0.91209,0.89189,1.00000,0.94286,92.83800s,69,0.84848,0.91304,0.68478,0.78261,237.05003s
