Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,6.83796s,8,0.74834,0.65714,0.46939,0.54762,5.61515s,30,1.00000,1.00000,1.00000,1.00000,3.93734s
100,10,3,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,8.37479s,23,0.82781,0.82857,0.59184,0.69048,7.58709s,35,1.00000,1.00000,1.00000,1.00000,4.34452s
100,10,3,0.00000,0.97500,58,0.88934,0.89333,0.77907,0.83230,32.36710s,52,0.88079,0.87805,0.73469,0.80000,25.93595s,40,1.00000,1.00000,1.00000,1.00000,4.31496s
100,10,3,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,6.35427s,2,0.67550,-nan,0.00000,-nan,5.25669s,18,1.00000,1.00000,1.00000,1.00000,3.22709s
100,10,3,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,6.89924s,9,0.77483,0.67442,0.59184,0.63043,5.72110s,28,1.00000,1.00000,1.00000,1.00000,3.92343s
100,10,3,0.20000,0.97500,34,0.89344,0.94118,0.74419,0.83117,15.49759s,35,0.84768,0.86111,0.63265,0.72941,13.04514s,35,1.00000,1.00000,1.00000,1.00000,4.14831s
100,10,3,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,6.09670s,2,0.67550,-nan,0.00000,-nan,5.14457s,10,0.89474,1.00000,0.66667,0.80000,3.04962s
100,10,3,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,6.43759s,3,0.69536,1.00000,0.06122,0.11538,5.32581s,17,0.94737,1.00000,0.83333,0.90909,3.51450s
100,10,3,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,12.07929s,28,0.83444,0.80000,0.65306,0.71910,12.38474s,29,0.94737,1.00000,0.83333,0.90909,3.93507s
100,10,6,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,22.86799s,8,0.74834,0.65714,0.46939,0.54762,18.59189s,31,1.00000,1.00000,1.00000,1.00000,9.87092s
100,10,6,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,24.19236s,24,0.82781,0.82857,0.59184,0.69048,20.76615s,40,1.00000,1.00000,1.00000,1.00000,10.41338s
100,10,6,0.00000,0.97500,53,0.88934,0.89333,0.77907,0.83230,44.02633s,52,0.88079,0.87805,0.73469,0.80000,39.07087s,41,1.00000,1.00000,1.00000,1.00000,10.73380s
100,10,6,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,21.92197s,2,0.67550,-nan,0.00000,-nan,18.75182s,17,1.00000,1.00000,1.00000,1.00000,9.41497s
100,10,6,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,22.73704s,9,0.77483,0.67442,0.59184,0.63043,19.29361s,24,1.00000,1.00000,1.00000,1.00000,10.10412s
100,10,6,0.20000,0.97500,34,0.89344,0.94118,0.74419,0.83117,31.23286s,35,0.84768,0.86111,0.63265,0.72941,26.68661s,35,1.00000,1.00000,1.00000,1.00000,10.39847s
100,10,6,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,21.71207s,2,0.67550,-nan,0.00000,-nan,18.70061s,7,0.84211,0.80000,0.66667,0.72727,9.28809s
100,10,6,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,22.25232s,3,0.69536,1.00000,0.06122,0.11538,19.01482s,17,0.94737,1.00000,0.83333,0.90909,9.81018s
100,10,6,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,27.42140s,29,0.83444,0.80000,0.65306,0.71910,25.77755s,28,1.00000,1.00000,1.00000,1.00000,10.08645s
100,10,9,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,50.97554s,8,0.74834,0.65714,0.46939,0.54762,41.83913s,31,1.00000,1.00000,1.00000,1.00000,20.63285s
