Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.97000,35,0.86475,0.85333,0.74419,0.79503,10.24472s,34,0.86755,0.85366,0.71429,0.77778,8.63939s,30,1.00000,1.00000,1.00000,1.00000,2.67827s
100,10,3,0.98000,45,0.87705,0.88889,0.74419,0.81013,11.05926s,38,0.91391,0.95000,0.77551,0.85393,8.83137s,29,1.00000,1.00000,1.00000,1.00000,2.67208s
100,10,3,0.99000,47,0.87705,0.87838,0.75581,0.81250,11.00167s,38,0.88742,0.88095,0.75510,0.81319,8.68831s,27,1.00000,1.00000,1.00000,1.00000,2.70015s
100,10,3,0.97000,17,0.82377,0.84127,0.61628,0.71141,6.35067s,21,0.85430,0.86486,0.65306,0.74419,7.92463s,24,1.00000,1.00000,1.00000,1.00000,2.37785s
100,10,3,0.98000,23,0.84016,0.82192,0.69767,0.75472,9.85024s,21,0.84106,0.82051,0.65306,0.72727,8.24928s,26,1.00000,1.00000,1.00000,1.00000,2.36301s
100,10,3,0.99000,33,0.86885,0.84615,0.76744,0.80488,10.23421s,24,0.84768,0.80952,0.69388,0.74725,8.32256s,25,1.00000,1.00000,1.00000,1.00000,2.30497s
100,10,3,0.97000,13,0.79508,0.73077,0.66279,0.69512,5.23882s,10,0.81457,0.72340,0.69388,0.70833,5.50352s,21,1.00000,1.00000,1.00000,1.00000,2.37009s
100,10,3,0.98000,13,0.81967,0.87500,0.56977,0.69014,6.52081s,20,0.85430,0.84615,0.67347,0.75000,7.90643s,20,1.00000,1.00000,1.00000,1.00000,2.36538s
100,10,3,0.99000,24,0.83607,0.81944,0.68605,0.74684,10.02903s,15,0.85430,0.82927,0.69388,0.75556,8.43848s,26,1.00000,1.00000,1.00000,1.00000,2.42532s
100,10,6,0.97000,39,0.86885,0.86486,0.74419,0.80000,20.75911s,33,0.86093,0.85000,0.69388,0.76404,17.63525s,29,1.00000,1.00000,1.00000,1.00000,6.07822s
100,10,6,0.98000,44,0.87705,0.88889,0.74419,0.81013,20.85025s,37,0.91391,0.95000,0.77551,0.85393,17.75712s,30,1.00000,1.00000,1.00000,1.00000,6.14922s
100,10,6,0.99000,47,0.87705,0.87838,0.75581,0.81250,20.98412s,38,0.88742,0.88095,0.75510,0.81319,17.60952s,27,1.00000,1.00000,1.00000,1.00000,6.18471s
100,10,6,0.97000,17,0.82377,0.84127,0.61628,0.71141,16.26101s,21,0.85430,0.86486,0.65306,0.74419,16.86566s,24,1.00000,1.00000,1.00000,1.00000,5.87990s
100,10,6,0.98000,23,0.84016,0.82192,0.69767,0.75472,20.00796s,20,0.83444,0.80000,0.65306,0.71910,17.19102s,26,1.00000,1.00000,1.00000,1.00000,5.90892s
100,10,6,0.99000,33,0.86885,0.84615,0.76744,0.80488,20.30123s,24,0.84768,0.80952,0.69388,0.74725,17.36147s,25,1.00000,1.00000,1.00000,1.00000,5.88304s
100,10,6,0.97000,13,0.79508,0.73077,0.66279,0.69512,15.28369s,10,0.81457,0.72340,0.69388,0.70833,14.41072s,21,1.00000,1.00000,1.00000,1.00000,5.90602s
100,10,6,0.98000,13,0.81967,0.87500,0.56977,0.69014,16.32314s,20,0.85430,0.84615,0.67347,0.75000,16.79403s,20,1.00000,1.00000,1.00000,1.00000,5.85174s
100,10,6,0.99000,24,0.83607,0.81944,0.68605,0.74684,19.94723s,15,0.85430,0.82927,0.69388,0.75556,17.09162s,26,1.00000,1.00000,1.00000,1.00000,5.85645s
100,10,9,0.97000,39,0.86885,0.86486,0.74419,0.80000,38.56363s,31,0.86093,0.85000,0.69388,0.76404,33.09555s,29,1.00000,1.00000,1.00000,1.00000,12.20282s
100,10,9,0.98000,45,0.87705,0.88889,0.74419,0.81013,38.33669s,37,0.91391,0.95000,0.77551,0.85393,33.29084s,30,1.00000,1.00000,1.00000,1.00000,12.26698s
100,10,9,0.99000,47,0.87705,0.87838,0.75581,0.81250,39.09362s,38,0.88742,0.88095,0.75510,0.81319,33.26968s,27,1.00000,1.00000,1.00000,1.00000,12.52509s
100,10,9,0.97000,17,0.82377,0.84127,0.61628,0.71141,34.31788s,21,0.85430,0.86486,0.65306,0.74419,32.53440s,24,1.00000,1.00000,1.00000,1.00000,12.18217s
100,10,9,0.98000,23,0.84016,0.82192,0.69767,0.75472,37.63610s,20,0.83444,0.80000,0.65306,0.71910,32.79876s,26,1.00000,1.00000,1.00000,1.00000,12.08321s
100,10,9,0.99000,33,0.86885,0.84615,0.76744,0.80488,37.88354s,24,0.84768,0.80952,0.69388,0.74725,32.86263s,25,1.00000,1.00000,1.00000,1.00000,12.02347s
100,10,9,0.97000,13,0.79508,0.73077,0.66279,0.69512,32.91132s,10,0.81457,0.72340,0.69388,0.70833,29.98858s,21,1.00000,1.00000,1.00000,1.00000,11.95696s
100,10,9,0.98000,13,0.81967,0.87500,0.56977,0.69014,33.95339s,20,0.85430,0.84615,0.67347,0.75000,32.38117s,20,1.00000,1.00000,1.00000,1.00000,12.02353s
100,10,9,0.99000,24,0.83607,0.81944,0.68605,0.74684,37.30795s,15,0.85430,0.82927,0.69388,0.75556,32.47904s,26,1.00000,1.00000,1.00000,1.00000,11.91828s
100,10,12,0.97000,41,0.86475,0.85333,0.74419,0.79503,64.09506s,31,0.86093,0.85000,0.69388,0.76404,55.55688s,29,1.00000,1.00000,1.00000,1.00000,21.18630s
100,10,12,0.98000,44,0.87705,0.88889,0.74419,0.81013,63.27747s,37,0.91391,0.95000,0.77551,0.85393,54.92520s,30,1.00000,1.00000,1.00000,1.00000,20.67285s
100,10,12,0.99000,48,0.87705,0.87838,0.75581,0.81250,63.64204s,38,0.88742,0.88095,0.75510,0.81319,54.89341s,27,1.00000,1.00000,1.00000,1.00000,20.86215s
100,10,12,0.97000,17,0.82377,0.84127,0.61628,0.71141,58.83772s,21,0.85430,0.86486,0.65306,0.74419,54.65569s,24,1.00000,1.00000,1.00000,1.00000,20.80096s
100,10,12,0.98000,23,0.84016,0.82192,0.69767,0.75472,63.21879s,20,0.83444,0.80000,0.65306,0.71910,55.44106s,26,1.00000,1.00000,1.00000,1.00000,20.82080s
100,10,12,0.99000,33,0.86885,0.84615,0.76744,0.80488,62.34897s,24,0.84768,0.80952,0.69388,0.74725,54.89635s,25,1.00000,1.00000,1.00000,1.00000,20.61401s
100,10,12,0.97000,13,0.79508,0.73077,0.66279,0.69512,58.15010s,10,0.81457,0.72340,0.69388,0.70833,52.20329s,21,1.00000,1.00000,1.00000,1.00000,20.74725s
100,10,12,0.98000,13,0.81967,0.87500,0.56977,0.69014,58.68053s,20,0.85430,0.84615,0.67347,0.75000,54.28642s,20,1.00000,1.00000,1.00000,1.00000,20.61284s
100,10,12,0.99000,24,0.83607,0.81944,0.68605,0.74684,62.12333s,15,0.85430,0.82927,0.69388,0.75556,54.51724s,26,1.00000,1.00000,1.00000,1.00000,20.54131s
100,10,15,0.97000,40,0.86475,0.85333,0.74419,0.79503,95.72520s,31,0.86093,0.85000,0.69388,0.76404,83.44303s,29,1.00000,1.00000,1.00000,1.00000,32.14026s
100,10,15,0.98000,44,0.87705,0.88889,0.74419,0.81013,96.16011s,37,0.91391,0.95000,0.77551,0.85393,84.27769s,30,1.00000,1.00000,1.00000,1.00000,32.77213s
100,10,15,0.99000,47,0.87705,0.87838,0.75581,0.81250,96.33525s,38,0.88742,0.88095,0.75510,0.81319,83.62497s,28,1.00000,1.00000,1.00000,1.00000,32.42550s
100,10,15,0.97000,17,0.82377,0.84127,0.61628,0.71141,91.58573s,21,0.85430,0.86486,0.65306,0.74419,82.15801s,24,1.00000,1.00000,1.00000,1.00000,31.63463s
100,10,15,0.98000,23,0.84016,0.82192,0.69767,0.75472,94.87333s,20,0.83444,0.80000,0.65306,0.71910,83.28348s,26,1.00000,1.00000,1.00000,1.00000,31.61921s
100,10,15,0.99000,33,0.86885,0.84615,0.76744,0.80488,95.03653s,24,0.84768,0.80952,0.69388,0.74725,82.85071s,25,1.00000,1.00000,1.00000,1.00000,31.78760s
100,10,15,0.97000,13,0.79508,0.73077,0.66279,0.69512,90.37107s,10,0.81457,0.72340,0.69388,0.70833,80.52125s,21,1.00000,1.00000,1.00000,1.00000,31.83417s
100,10,15,0.98000,13,0.81967,0.87500,0.56977,0.69014,92.73786s,20,0.85430,0.84615,0.67347,0.75000,84.04616s,20,1.00000,1.00000,1.00000,1.00000,32.62109s
100,10,15,0.99000,24,0.83607,0.81944,0.68605,0.74684,94.99397s,15,0.85430,0.82927,0.69388,0.75556,83.43193s,26,1.00000,1.00000,1.00000,1.00000,32.01167s
100,10,18,0.97000,41,0.87295,0.87671,0.74419,0.80503,134.49290s,31,0.86093,0.85000,0.69388,0.76404,117.62904s,29,1.00000,1.00000,1.00000,1.00000,45.56338s
100,10,18,0.98000,41,0.87705,0.88889,0.74419,0.81013,136.08233s,37,0.91391,0.95000,0.77551,0.85393,119.23639s,30,1.00000,1.00000,1.00000,1.00000,46.36720s
100,10,18,0.99000,48,0.87705,0.87838,0.75581,0.81250,136.09327s,38,0.88742,0.88095,0.75510,0.81319,119.23979s,27,1.00000,1.00000,1.00000,1.00000,46.48724s
100,10,18,0.97000,17,0.82377,0.84127,0.61628,0.71141,131.59485s,21,0.85430,0.86486,0.65306,0.74419,117.89644s,24,1.00000,1.00000,1.00000,1.00000,45.09356s
100,10,18,0.98000,23,0.84016,0.82192,0.69767,0.75472,132.24600s,20,0.83444,0.80000,0.65306,0.71910,119.12830s,26,1.00000,1.00000,1.00000,1.00000,45.72034s
