Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.00000,0.97000,66,0.91393,0.90123,0.84884,0.87425,46.30395s,53,0.88742,0.90000,0.73469,0.80899,37.28928s,59,1.00000,1.00000,1.00000,1.00000,21.41153s
100,10,3,0.00000,0.98000,66,0.92213,0.91358,0.86047,0.88623,45.60265s,56,0.90066,0.90476,0.77551,0.83516,37.97124s,57,1.00000,1.00000,1.00000,1.00000,20.25642s
100,10,3,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,50.94115s,69,0.92715,0.95238,0.81633,0.87912,41.32267s,61,1.00000,1.00000,1.00000,1.00000,23.02158s
100,10,3,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,28.70979s,31,0.85430,0.84615,0.67347,0.75000,23.02776s,39,1.00000,1.00000,1.00000,1.00000,6.83014s
100,10,3,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,29.35838s,47,0.86755,0.87179,0.69388,0.77273,23.48186s,40,1.00000,1.00000,1.00000,1.00000,6.81503s
100,10,3,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,29.86850s,57,0.91391,0.92857,0.79592,0.85714,24.23097s,43,1.00000,1.00000,1.00000,1.00000,7.00695s
100,10,3,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,19.10342s,24,0.83444,0.83333,0.61224,0.70588,16.30393s,34,1.00000,1.00000,1.00000,1.00000,6.68149s
100,10,3,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,28.06392s,33,0.84768,0.86111,0.63265,0.72941,22.15624s,41,1.00000,1.00000,1.00000,1.00000,6.73926s
100,10,3,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,30.00158s,47,0.86093,0.86842,0.67347,0.75862,23.89218s,41,1.00000,1.00000,1.00000,1.00000,6.85672s
100,10,6,0.00000,0.97000,59,0.91393,0.90123,0.84884,0.87425,69.43964s,53,0.88742,0.90000,0.73469,0.80899,58.56882s,57,1.00000,1.00000,1.00000,1.00000,29.25635s
