Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.97000,76,0.91393,0.90123,0.84884,0.87425,51.57094s,55,0.88742,0.84783,0.79592,0.82105,39.44805s,52,1.00000,1.00000,1.00000,1.00000,20.41323s
100,10,3,0.98000,68,0.91803,0.90244,0.86047,0.88095,49.23749s,60,0.90728,0.90698,0.79592,0.84783,40.27981s,61,1.00000,1.00000,1.00000,1.00000,22.24299s
100,10,3,0.99000,81,0.91803,0.91250,0.84884,0.87952,52.99592s,76,0.91391,0.92857,0.79592,0.85714,46.65698s,64,1.00000,1.00000,1.00000,1.00000,22.65678s
100,10,3,0.97000,40,0.85246,0.86765,0.68605,0.76623,30.52078s,34,0.85430,0.82927,0.69388,0.75556,24.34111s,40,1.00000,1.00000,1.00000,1.00000,7.22681s
100,10,3,0.98000,45,0.88934,0.89333,0.77907,0.83230,31.59109s,43,0.84768,0.84211,0.65306,0.73563,24.86904s,41,1.00000,1.00000,1.00000,1.00000,7.30899s
100,10,3,0.99000,66,0.90574,0.89873,0.82558,0.86061,31.70494s,52,0.90066,0.88636,0.79592,0.83871,25.52144s,43,1.00000,1.00000,1.00000,1.00000,7.19438s
100,10,3,0.97000,24,0.84426,0.82432,0.70930,0.76250,19.92420s,26,0.84106,0.83784,0.63265,0.72093,19.50673s,32,1.00000,1.00000,1.00000,1.00000,7.15188s
100,10,3,0.98000,35,0.87295,0.89855,0.72093,0.80000,29.96398s,31,0.86755,0.85366,0.71429,0.77778,24.28138s,41,1.00000,1.00000,1.00000,1.00000,7.15048s
100,10,3,0.99000,47,0.89754,0.90667,0.79070,0.84472,31.45692s,48,0.88079,0.86047,0.75510,0.80435,25.16665s,42,1.00000,1.00000,1.00000,1.00000,7.28199s
100,10,6,0.97000,63,0.90984,0.89024,0.84884,0.86905,73.27500s,57,0.91391,0.95000,0.77551,0.85393,63.24498s,52,1.00000,1.00000,1.00000,1.00000,27.66288s
100,10,6,0.98000,67,0.91803,0.90244,0.86047,0.88095,74.85143s,61,0.90728,0.87234,0.83673,0.85417,65.00493s,56,1.00000,1.00000,1.00000,1.00000,30.20895s
100,10,6,0.99000,81,0.91803,0.91250,0.84884,0.87952,78.02133s,76,0.91391,0.92857,0.79592,0.85714,68.56809s,61,1.00000,1.00000,1.00000,1.00000,30.80176s
100,10,6,0.97000,40,0.85246,0.86765,0.68605,0.76623,56.71260s,35,0.85430,0.82927,0.69388,0.75556,47.25315s,40,1.00000,1.00000,1.00000,1.00000,15.66979s
100,10,6,0.98000,45,0.88934,0.89333,0.77907,0.83230,57.49885s,43,0.84768,0.84211,0.65306,0.73563,47.33862s,41,1.00000,1.00000,1.00000,1.00000,15.74337s
100,10,6,0.99000,66,0.90574,0.89873,0.82558,0.86061,58.31963s,52,0.90066,0.88636,0.79592,0.83871,48.20602s,43,1.00000,1.00000,1.00000,1.00000,15.63990s
100,10,6,0.97000,24,0.84426,0.82432,0.70930,0.76250,45.70538s,26,0.84106,0.83784,0.63265,0.72093,41.89737s,32,1.00000,1.00000,1.00000,1.00000,15.42279s
