Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.90000,15,0.33401,2.81883s,22,0.65715,4.13656s,25,1.00000,1.44026s
100,10,3,0.00000,0.95000,30,0.39466,5.24779s,27,0.66047,4.19397s,26,1.00000,1.45156s
100,10,3,0.00000,0.99000,32,0.39851,5.65263s,31,0.66776,4.43673s,25,1.00000,1.46912s
100,10,3,0.20000,0.90000,7,0.30124,2.53141s,20,0.58153,3.83432s,27,0.98319,1.35681s
100,10,3,0.20000,0.95000,14,0.33395,4.38267s,26,0.64144,4.12657s,26,0.98335,1.38300s
100,10,3,0.20000,0.99000,30,0.39225,5.38112s,26,0.64081,4.25990s,25,0.98838,1.38562s
100,10,3,0.50000,0.90000,5,0.28082,2.34095s,13,0.53562,3.16995s,15,0.85847,1.35453s
100,10,3,0.50000,0.95000,7,0.29837,2.84081s,20,0.58445,4.09518s,20,0.95248,1.38978s
100,10,3,0.50000,0.99000,22,0.38447,5.29440s,22,0.60717,4.24303s,34,0.96505,1.47603s
100,10,6,0.00000,0.90000,16,0.35700,9.32584s,21,0.60594,8.96893s,25,1.00000,4.00711s
100,10,6,0.00000,0.95000,29,0.39238,10.81072s,28,0.66265,9.04165s,26,1.00000,3.94878s
100,10,6,0.00000,0.99000,31,0.39518,10.95563s,30,0.66577,9.09804s,25,1.00000,3.93804s
100,10,6,0.20000,0.90000,8,0.31842,8.32489s,17,0.57769,8.67868s,33,0.98838,3.84088s
100,10,6,0.20000,0.95000,24,0.38947,10.71369s,22,0.64077,9.21174s,29,0.98838,3.86507s
100,10,6,0.20000,0.99000,29,0.39373,10.96120s,24,0.64090,9.38731s,25,0.98838,3.98459s
100,10,6,0.50000,0.90000,5,0.28082,7.95140s,13,0.53562,7.71025s,17,0.86207,3.80479s
100,10,6,0.50000,0.95000,8,0.31643,9.32618s,22,0.54153,8.90572s,23,0.97194,3.89258s
100,10,6,0.50000,0.99000,23,0.38656,10.83848s,25,0.60429,9.02728s,28,0.92663,3.90042s
100,10,9,0.00000,0.90000,16,0.35700,19.26115s,21,0.61586,17.22727s,25,1.00000,8.32388s
100,10,9,0.00000,0.95000,29,0.39276,20.47756s,27,0.66264,17.26539s,26,1.00000,8.20005s
100,10,9,0.00000,0.99000,32,0.39851,21.46001s,30,0.66577,17.57633s,25,1.00000,8.38764s
100,10,9,0.20000,0.90000,8,0.31842,17.96140s,20,0.58476,17.08841s,32,0.98838,8.17998s
100,10,9,0.20000,0.95000,22,0.38025,20.32963s,22,0.64126,17.38275s,34,0.98839,8.03261s
100,10,9,0.20000,0.99000,29,0.39373,20.76972s,27,0.64083,17.28484s,24,0.98838,8.24867s
100,10,9,0.50000,0.90000,5,0.28082,17.75429s,13,0.53562,16.05007s,17,0.88172,8.10619s
100,10,9,0.50000,0.95000,8,0.31643,19.01627s,21,0.59340,17.08741s,23,0.97194,8.11336s
100,10,9,0.50000,0.99000,21,0.37891,20.70013s,23,0.60209,17.39997s,30,0.97194,8.26220s
100,10,12,0.00000,0.90000,16,0.35700,33.70034s,24,0.65794,29.00557s,25,1.00000,14.46498s
100,10,12,0.00000,0.95000,29,0.39215,34.45177s,26,0.66247,29.05633s,26,1.00000,14.43037s
