Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.90000,20,0.43915,6.04865s,30,0.88585,7.97367s,33,1.00000,2.66551s
100,10,3,0.00000,0.95000,37,0.49878,10.52961s,47,0.89236,8.55253s,34,1.00000,2.80001s
100,10,3,0.00000,0.99000,41,0.50300,11.02497s,46,0.89444,8.99925s,35,1.00000,2.77170s
100,10,3,0.20000,0.90000,9,0.40424,5.15281s,18,0.63274,5.91809s,34,0.97779,2.44831s
100,10,3,0.20000,0.95000,26,0.48333,9.69809s,25,0.64805,8.11528s,40,0.98268,2.43065s
100,10,3,0.20000,0.99000,37,0.49639,10.43511s,38,0.81607,9.03005s,33,0.98311,2.63122s
100,10,3,0.50000,0.90000,8,0.38775,4.55215s,11,0.57441,5.65055s,18,0.84908,2.29137s
100,10,3,0.50000,0.95000,19,0.40968,9.11085s,31,0.59562,7.78519s,39,0.93428,2.45288s
100,10,3,0.50000,0.99000,36,0.48052,10.18146s,32,0.78916,8.88551s,56,0.97877,2.66266s
100,10,6,0.00000,0.90000,21,0.45980,17.37020s,35,0.66017,17.09384s,33,1.00000,6.30138s
100,10,6,0.00000,0.95000,40,0.50374,20.71710s,45,0.89217,18.09277s,34,1.00000,6.24556s
100,10,6,0.00000,0.99000,44,0.50583,20.96443s,43,0.89675,17.47651s,32,1.00000,6.17132s
100,10,6,0.20000,0.90000,10,0.42129,16.14633s,19,0.63818,16.47619s,36,0.99422,5.96659s
100,10,6,0.20000,0.95000,29,0.49005,19.79515s,35,0.64894,17.02230s,42,0.99437,5.98255s
100,10,6,0.20000,0.99000,41,0.49880,20.91824s,39,0.86258,17.69025s,32,0.97729,6.21978s
100,10,6,0.50000,0.90000,8,0.38775,14.92469s,12,0.57531,14.69131s,20,0.86764,5.76055s
100,10,6,0.50000,0.95000,22,0.44150,19.33472s,28,0.60779,16.70571s,34,0.92825,5.98248s
100,10,6,0.50000,0.99000,37,0.48552,20.43274s,37,0.78902,17.54235s,43,0.93431,5.92684s
100,10,9,0.00000,0.90000,21,0.45980,35.32133s,30,0.66409,32.26118s,33,1.00000,12.21258s
100,10,9,0.00000,0.95000,39,0.50374,38.47495s,42,0.87159,32.99246s,33,1.00000,12.57799s
100,10,9,0.00000,0.99000,43,0.50812,38.38763s,46,0.89675,32.96869s,33,1.00000,12.12642s
100,10,9,0.20000,0.90000,10,0.42129,34.13716s,19,0.63818,31.73878s,43,0.98777,11.86070s
100,10,9,0.20000,0.95000,26,0.48411,37.49757s,33,0.64795,32.19889s,40,0.98187,11.98645s
100,10,9,0.20000,0.99000,39,0.49833,37.97360s,41,0.81979,32.96864s,33,0.98976,12.11087s
100,10,9,0.50000,0.90000,8,0.38775,32.36517s,12,0.57531,30.43160s,20,0.86764,11.87440s
100,10,9,0.50000,0.95000,25,0.46323,36.82597s,29,0.60826,32.11476s,41,0.97074,12.16892s
100,10,9,0.50000,0.99000,37,0.47714,37.63298s,35,0.78937,33.09535s,40,0.93344,12.13891s
100,10,12,0.00000,0.90000,21,0.45980,61.65159s,34,0.65137,54.69098s,32,1.00000,21.18683s
100,10,12,0.00000,0.95000,38,0.50352,63.78757s,45,0.89238,55.31510s,34,1.00000,21.32995s
100,10,12,0.00000,0.99000,43,0.50501,63.79951s,46,0.89712,55.27189s,35,1.00000,20.81587s
100,10,12,0.20000,0.90000,10,0.42129,59.13880s,25,0.64253,53.89860s,36,0.98895,20.51965s
100,10,12,0.20000,0.95000,26,0.48272,60.94019s,31,0.64053,53.62323s,43,0.99440,20.12392s
100,10,12,0.20000,0.99000,43,0.50240,63.15874s,37,0.84092,54.74879s,31,0.98981,20.11893s
100,10,12,0.50000,0.90000,8,0.38775,56.96029s,13,0.57709,51.33060s,20,0.86764,20.06953s
100,10,12,0.50000,0.95000,23,0.45442,61.77767s,29,0.59016,53.90111s,43,0.96192,20.67485s
100,10,12,0.50000,0.99000,37,0.47902,62.62639s,34,0.75713,55.00206s,45,0.96492,20.67979s
100,10,15,0.00000,0.90000,21,0.45980,93.82469s,25,0.65589,82.31109s,32,1.00000,31.96190s
100,10,15,0.00000,0.95000,40,0.50374,94.68994s,45,0.89217,82.60720s,33,1.00000,32.05245s
100,10,15,0.00000,0.99000,47,0.50945,96.45702s,48,0.89797,84.65124s,34,1.00000,32.47990s
100,10,15,0.20000,0.90000,10,0.42129,90.82568s,26,0.64016,82.04960s,39,0.98723,31.72037s
100,10,15,0.20000,0.95000,29,0.48341,94.12379s,34,0.66369,82.03755s,38,0.99440,31.69439s
100,10,15,0.20000,0.99000,43,0.50273,94.82587s,34,0.81766,84.31175s,39,0.99440,30.80790s
100,10,15,0.50000,0.90000,8,0.38775,91.33958s,13,0.57709,81.53109s,20,0.86764,32.16201s
100,10,15,0.50000,0.95000,27,0.46818,94.21878s,27,0.59633,82.16612s,40,0.97237,31.82270s
100,10,15,0.50000,0.99000,38,0.47927,97.16347s,34,0.75664,85.10011s,34,0.94461,32.56162s
100,10,18,0.00000,0.90000,21,0.45980,135.84332s,28,0.64809,118.84455s,32,1.00000,46.54127s
100,10,18,0.00000,0.95000,38,0.50374,135.00131s,47,0.89447,118.87168s,34,1.00000,46.33814s
100,10,18,0.00000,0.99000,44,0.50651,135.26090s,46,0.89712,118.87160s,34,1.00000,46.40116s
100,10,18,0.20000,0.90000,10,0.42129,132.13332s,23,0.64024,118.43447s,39,0.99388,46.41104s
100,10,18,0.20000,0.95000,28,0.48682,135.83459s,31,0.64157,118.64591s,40,0.99439,46.30703s
100,10,18,0.20000,0.99000,38,0.49742,135.95533s,38,0.81999,119.05285s,34,0.98976,46.20551s
100,10,18,0.50000,0.90000,8,0.38775,130.18059s,13,0.57709,116.39150s,20,0.86764,45.82727s
100,10,18,0.50000,0.95000,26,0.45669,134.59757s,26,0.59675,117.97337s,37,0.96083,46.21868s
100,10,18,0.50000,0.99000,37,0.47887,134.97314s,37,0.75862,119.12216s,46,0.96238,46.31489s
100,15,3,0.00000,0.90000,20,0.43915,9.33892s,35,0.88863,12.59721s,33,1.00000,4.21045s
100,15,3,0.00000,0.95000,38,0.50146,15.98260s,45,0.89238,13.17233s,34,1.00000,4.20296s
100,15,3,0.00000,0.99000,47,0.50943,16.65868s,45,0.89712,13.44586s,35,1.00000,4.12402s
100,15,3,0.20000,0.90000,9,0.40424,7.93245s,18,0.63274,9.21900s,34,0.97779,3.76677s
100,15,3,0.20000,0.95000,26,0.48333,15.37372s,25,0.64805,12.94596s,40,0.98268,3.73646s
100,15,3,0.20000,0.99000,42,0.49670,16.64775s,38,0.81607,13.49951s,37,0.98311,3.94818s
100,15,3,0.50000,0.90000,8,0.38775,7.06013s,11,0.57441,8.82742s,18,0.84908,3.58481s
100,15,3,0.50000,0.95000,19,0.40968,14.66429s,31,0.59562,12.16173s,39,0.93669,3.82343s
100,15,3,0.50000,0.99000,37,0.48251,15.99660s,32,0.78916,13.43491s,56,0.97877,3.87537s
100,15,6,0.00000,0.90000,21,0.45980,26.88764s,34,0.65919,26.26550s,33,1.00000,9.57610s
100,15,6,0.00000,0.95000,40,0.50374,31.73525s,45,0.89217,26.93893s,34,1.00000,9.44599s
100,15,6,0.00000,0.99000,43,0.50501,32.08445s,45,0.89444,27.23062s,32,1.00000,9.37745s
100,15,6,0.20000,0.90000,10,0.42129,25.06518s,19,0.63818,26.11949s,36,0.99422,8.92389s
100,15,6,0.20000,0.95000,29,0.49005,30.94580s,35,0.64894,26.64925s,42,0.99437,9.01714s
100,15,6,0.20000,0.99000,39,0.49282,32.41911s,35,0.81933,27.28324s,40,0.99455,9.13812s
100,15,6,0.50000,0.90000,8,0.38775,23.33737s,12,0.57531,22.95344s,20,0.86764,8.89024s
100,15,6,0.50000,0.95000,22,0.44150,30.32342s,28,0.60779,25.85370s,40,0.92906,9.13257s
100,15,6,0.50000,0.99000,39,0.48098,31.78829s,37,0.78902,27.24781s,42,0.93296,9.24870s
100,15,9,0.00000,0.90000,21,0.45980,53.59932s,30,0.66409,49.14489s,33,1.00000,18.70206s
100,15,9,0.00000,0.95000,40,0.50374,59.48483s,42,0.87159,51.30738s,33,1.00000,19.25243s
100,15,9,0.00000,0.99000,43,0.50650,59.05506s,46,0.89712,50.96281s,33,1.00000,18.95583s
100,15,9,0.20000,0.90000,10,0.42129,52.91303s,19,0.63818,49.74988s,43,0.98777,18.66821s
100,15,9,0.20000,0.95000,26,0.48411,57.57980s,31,0.80098,49.52186s,40,0.98187,18.03442s
100,15,9,0.20000,0.99000,42,0.49907,59.23004s,41,0.81979,51.01561s,33,0.98976,18.38711s
100,15,9,0.50000,0.90000,8,0.38775,50.54336s,12,0.57531,46.66820s,20,0.86764,18.21675s
100,15,9,0.50000,0.95000,25,0.46323,57.51176s,29,0.60826,49.70151s,45,0.93427,18.59969s
100,15,9,0.50000,0.99000,38,0.48501,58.42904s,35,0.78937,50.97859s,40,0.93344,18.61908s
100,15,12,0.00000,0.90000,21,0.45980,94.74710s,34,0.65137,84.08424s,32,1.00000,32.13200s
100,15,12,0.00000,0.95000,40,0.50377,98.19761s,48,0.89217,85.91085s,34,1.00000,32.85096s
100,15,12,0.00000,0.99000,49,0.51023,98.15281s,47,0.89675,86.01094s,35,1.00000,32.55317s
100,15,12,0.20000,0.90000,10,0.42129,91.26803s,25,0.64253,83.55170s,36,0.98895,31.81354s
100,15,12,0.20000,0.95000,26,0.48272,96.77906s,31,0.64053,83.67829s,43,0.99440,31.77515s
100,15,12,0.20000,0.99000,41,0.50047,97.14562s,35,0.81769,83.98861s,31,0.98981,31.76216s
100,15,12,0.50000,0.90000,8,0.38775,90.40411s,13,0.57709,82.25101s,20,0.86764,32.55251s
100,15,12,0.50000,0.95000,23,0.45442,95.92679s,29,0.59016,83.43716s,45,0.92773,31.97024s
100,15,12,0.50000,0.99000,40,0.48558,97.90613s,34,0.75713,85.83951s,41,0.93625,32.15001s
100,15,15,0.00000,0.90000,21,0.45980,145.24482s,25,0.65589,127.47375s,32,1.00000,49.48241s
100,15,15,0.00000,0.95000,40,0.50166,148.87772s,45,0.89217,129.90296s,33,1.00000,50.05794s
100,15,15,0.00000,0.99000,44,0.50680,148.49828s,46,0.89675,129.67850s,34,1.00000,50.26976s
100,15,15,0.20000,0.90000,10,0.42129,143.02161s,27,0.63197,129.00446s,39,0.98723,50.06358s
100,15,15,0.20000,0.95000,29,0.48341,148.08430s,34,0.66369,128.83188s,38,0.99440,49.65406s
100,15,15,0.20000,0.99000,45,0.50181,148.83665s,34,0.81766,130.12513s,40,0.99455,49.81002s
100,15,15,0.50000,0.90000,8,0.38775,140.70191s,13,0.57709,126.36229s,20,0.86764,49.54711s
100,15,15,0.50000,0.95000,27,0.46818,146.62893s,27,0.59633,127.72414s,41,0.94009,49.57191s
100,15,15,0.50000,0.99000,40,0.47899,149.02264s,34,0.75664,131.23795s,34,0.94461,50.28981s
100,15,18,0.00000,0.90000,21,0.45980,210.48801s,28,0.64809,183.86088s,32,1.00000,71.68376s
100,15,18,0.00000,0.95000,41,0.50374,209.91708s,50,0.89447,184.71101s,34,1.00000,71.42498s
100,15,18,0.00000,0.99000,45,0.50651,212.02978s,49,0.89797,186.05095s,34,1.00000,71.89318s
100,15,18,0.20000,0.90000,10,0.42129,206.75928s,27,0.64323,184.85613s,39,0.99388,71.55928s
100,15,18,0.20000,0.95000,28,0.48682,207.87456s,31,0.64157,183.35121s,40,0.99439,71.03330s
100,15,18,0.20000,0.99000,38,0.49742,211.03228s,40,0.82009,185.35196s,34,0.98976,71.23697s
