Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.90000,57,0.65409,44.49299s,45,0.92513,24.92216s,64,1.00000,23.11669s
100,10,3,0.00000,0.95000,51,0.64113,44.44173s,59,0.93280,40.37511s,59,1.00000,21.17850s
100,10,3,0.00000,0.99000,56,0.64890,45.70633s,61,0.93527,41.53224s,62,1.00000,22.31887s
100,10,3,0.20000,0.90000,42,0.62344,28.68416s,38,0.88755,24.11984s,67,0.99901,7.16054s
100,10,3,0.20000,0.95000,61,0.65820,30.69929s,49,0.90545,24.81327s,75,0.99915,7.59355s
100,10,3,0.20000,0.99000,59,0.64905,31.93062s,51,0.91286,25.30152s,63,0.99909,7.19874s
100,10,3,0.50000,0.90000,13,0.48433,17.82611s,30,0.82362,23.21383s,31,0.97300,6.41803s
100,10,3,0.50000,0.95000,52,0.61161,29.89420s,34,0.84858,24.50635s,59,0.99443,6.94386s
100,10,3,0.50000,0.99000,61,0.62901,32.31629s,50,0.85209,25.07120s,60,0.98917,7.18197s
100,10,6,0.00000,0.90000,54,0.64884,69.47704s,50,0.92611,47.60327s,62,1.00000,31.21428s
100,10,6,0.00000,0.95000,59,0.64503,71.97268s,50,0.93369,48.55495s,64,1.00000,31.88918s
100,10,6,0.00000,0.99000,59,0.64762,73.54455s,57,0.93414,62.12692s,62,1.00000,30.44675s
100,10,6,0.20000,0.90000,39,0.58789,55.31047s,37,0.88361,46.72818s,67,0.99912,15.60422s
100,10,6,0.20000,0.95000,62,0.64980,56.66502s,47,0.89465,47.28492s,65,0.99897,15.53305s
100,10,6,0.20000,0.99000,62,0.64239,58.14769s,49,0.90900,47.98472s,65,0.99907,15.81253s
100,10,6,0.50000,0.90000,13,0.48433,44.89738s,22,0.81341,46.20204s,36,0.99078,15.29451s
100,10,6,0.50000,0.95000,34,0.58017,55.60557s,35,0.83671,47.28909s,84,0.99573,15.99976s
100,10,6,0.50000,0.99000,55,0.62972,58.13887s,47,0.84352,47.87291s,70,0.99495,15.90727s
100,10,9,0.00000,0.90000,60,0.65241,116.99449s,47,0.92551,87.39176s,57,1.00000,43.36433s
100,10,9,0.00000,0.95000,54,0.64112,116.14491s,51,0.93043,99.71089s,62,1.00000,45.09464s
100,10,9,0.00000,0.99000,57,0.64827,116.91066s,57,0.93464,101.98063s,60,1.00000,44.43444s
100,10,9,0.20000,0.90000,39,0.61499,101.25081s,36,0.88628,86.60278s,58,0.99662,30.32789s
100,10,9,0.20000,0.95000,52,0.63525,101.31859s,44,0.89239,86.01122s,64,0.99902,29.99449s
100,10,9,0.20000,0.99000,55,0.64286,103.67422s,53,0.91469,87.42796s,61,0.99892,30.01849s
100,10,9,0.50000,0.90000,13,0.48433,89.83704s,26,0.81935,85.29104s,33,0.98055,29.70616s
100,10,9,0.50000,0.95000,50,0.62518,101.76307s,31,0.83209,87.34978s,74,0.99431,30.38200s
100,10,9,0.50000,0.99000,55,0.62386,103.18141s,49,0.84762,87.24276s,66,0.99539,29.95078s
100,10,12,0.00000,0.90000,51,0.64676,180.98213s,44,0.92515,144.73510s,58,1.00000,64.74932s
100,10,12,0.00000,0.95000,56,0.64151,180.71551s,50,0.92936,143.33079s,64,1.00000,64.61401s
100,10,12,0.00000,0.99000,58,0.64673,181.66326s,55,0.93377,157.67662s,59,1.00000,65.02991s
100,10,12,0.20000,0.90000,39,0.63420,165.57111s,35,0.88570,142.63021s,72,0.99907,51.67086s
100,10,12,0.20000,0.95000,59,0.63664,166.93377s,44,0.89036,142.92668s,68,0.99921,51.01839s
100,10,12,0.20000,0.99000,59,0.64412,166.43267s,52,0.91387,142.13111s,63,0.99906,50.16261s
100,10,12,0.50000,0.90000,13,0.48433,155.16431s,29,0.81544,142.02665s,33,0.98055,50.47410s
100,10,12,0.50000,0.95000,47,0.61610,166.10078s,31,0.82892,142.87440s,76,0.99514,50.67975s
100,10,12,0.50000,0.99000,51,0.60952,169.11186s,52,0.84959,144.85819s,71,0.99354,51.38357s
100,10,15,0.00000,0.90000,56,0.65179,263.99106s,50,0.93044,216.62819s,58,1.00000,91.57394s
100,10,15,0.00000,0.95000,52,0.64055,262.16788s,49,0.92895,210.05808s,62,1.00000,88.39517s
100,10,15,0.00000,0.99000,59,0.64686,266.78453s,59,0.93552,229.46729s,59,1.00000,91.61047s
100,10,15,0.20000,0.90000,44,0.62336,247.94669s,39,0.88575,215.30561s,65,0.99708,77.90026s
100,10,15,0.20000,0.95000,53,0.63537,251.12587s,45,0.88898,217.03821s,68,0.99917,78.07778s
100,10,15,0.20000,0.99000,58,0.64331,253.61256s,52,0.91568,218.50304s,65,0.99916,78.86489s
100,10,15,0.50000,0.90000,13,0.48433,239.72653s,24,0.81412,214.62668s,33,0.98055,77.26442s
100,10,15,0.50000,0.95000,38,0.61228,253.41571s,32,0.84497,218.26416s,82,0.99482,79.05074s
100,10,15,0.50000,0.99000,55,0.62641,253.48198s,48,0.84608,218.22388s,59,0.99475,78.61363s
100,10,18,0.00000,0.90000,52,0.64474,367.56404s,50,0.92597,305.09533s,58,1.00000,124.38274s
100,10,18,0.00000,0.95000,49,0.63926,355.60341s,47,0.92950,306.39291s,61,1.00000,125.59936s
100,10,18,0.00000,0.99000,56,0.64809,370.16926s,54,0.93230,320.76346s,59,1.00000,125.64943s
100,10,18,0.20000,0.90000,36,0.53532,349.26376s,40,0.88836,301.34483s,62,0.99690,109.73178s
100,10,18,0.20000,0.95000,56,0.64374,356.08327s,45,0.89295,307.09947s,73,0.99910,111.78056s
100,10,18,0.20000,0.99000,60,0.64522,362.79857s,50,0.90774,312.40200s,65,0.99921,114.18126s
100,10,18,0.50000,0.90000,13,0.48433,342.87386s,24,0.81317,304.57950s,33,0.98055,110.19048s
100,10,18,0.50000,0.95000,38,0.59008,354.31142s,34,0.83028,306.88969s,73,0.99420,111.53869s
100,10,18,0.50000,0.99000,58,0.62483,357.15328s,50,0.85418,307.89355s,70,0.99496,111.18570s
100,15,3,0.00000,0.90000,57,0.65409,60.39866s,45,0.92515,38.24192s,64,1.00000,26.26556s
100,15,3,0.00000,0.95000,54,0.64184,60.64696s,54,0.93216,53.05160s,59,1.00000,25.59561s
100,15,3,0.00000,0.99000,62,0.65154,63.79871s,68,0.93539,55.58063s,62,1.00000,25.88121s
100,15,3,0.20000,0.90000,42,0.62344,44.31366s,38,0.88755,37.37710s,67,0.99901,10.72729s
100,15,3,0.20000,0.95000,61,0.65820,46.32325s,49,0.90545,37.78134s,75,0.99915,11.08150s
100,15,3,0.20000,0.99000,62,0.65333,47.85605s,51,0.91286,37.75586s,63,0.99909,10.68359s
100,15,3,0.50000,0.90000,13,0.48433,27.38626s,30,0.82362,35.74159s,31,0.97300,9.68601s
100,15,3,0.50000,0.95000,52,0.61161,46.16585s,34,0.84858,37.44248s,72,0.99318,11.15127s
100,15,3,0.50000,0.99000,57,0.63116,48.29562s,50,0.85209,37.59392s,60,0.98917,10.85747s
100,15,6,0.00000,0.90000,54,0.64884,99.66905s,53,0.93401,85.12866s,62,1.00000,38.74601s
100,15,6,0.00000,0.95000,59,0.64503,102.20243s,49,0.93001,74.12343s,64,1.00000,38.83635s
100,15,6,0.00000,0.99000,63,0.66658,103.48284s,57,0.93414,89.51663s,62,1.00000,38.99178s
100,15,6,0.20000,0.90000,39,0.58789,86.02015s,37,0.88361,73.02199s,67,0.99912,24.20603s
100,15,6,0.20000,0.95000,62,0.64980,87.49301s,47,0.89465,73.32102s,65,0.99897,24.11789s
100,15,6,0.20000,0.99000,68,0.65274,89.10613s,53,0.91560,73.99633s,65,0.99907,24.18498s
100,15,6,0.50000,0.90000,13,0.48433,70.05380s,22,0.81341,71.45206s,36,0.99078,23.49767s
100,15,6,0.50000,0.95000,34,0.58017,85.16023s,35,0.83671,72.22193s,84,0.99573,23.85028s
100,15,6,0.50000,0.99000,62,0.63540,87.65931s,47,0.84352,72.68356s,70,0.99495,23.67652s
100,15,9,0.00000,0.90000,64,0.65834,173.61941s,50,0.92586,134.45509s,57,1.00000,59.69776s
100,15,9,0.00000,0.95000,54,0.64112,171.55710s,53,0.93402,148.89832s,62,1.00000,61.55954s
100,15,9,0.00000,0.99000,65,0.65155,174.00495s,55,0.93464,149.19415s,60,1.00000,60.78446s
