Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.99930,23,1.00000,0.93758s,67,0.99140,23.24681s,4,0.83964,0.81186s
100,10,3,0.00000,0.99950,29,1.00000,1.24413s,70,0.99189,23.41367s,5,0.96228,0.86326s
100,10,3,0.00000,0.99970,39,1.00000,1.32829s,68,0.99189,23.46020s,15,1.00000,0.87321s
100,10,3,0.20000,0.99930,15,0.97618,0.74405s,63,0.98988,6.86470s,8,0.95653,0.70493s
100,10,3,0.20000,0.99950,23,0.99570,0.88871s,58,0.98996,6.79291s,7,0.50342,0.73990s
100,10,3,0.20000,0.99970,33,0.99999,1.22478s,61,0.98729,6.84837s,22,1.00000,0.82872s
100,10,3,0.50000,0.99930,16,0.99347,0.79384s,56,0.98277,6.75999s,18,0.99922,0.78611s
100,10,3,0.50000,0.99950,20,0.99978,0.90323s,59,0.98656,6.78754s,23,1.00000,0.84281s
100,10,3,0.50000,0.99970,39,0.99996,1.13548s,51,0.98365,7.07464s,34,1.00000,1.01534s
100,10,6,0.00000,0.99930,23,1.00000,2.05458s,61,0.99062,33.86345s,4,0.83964,2.10792s
100,10,6,0.00000,0.99950,30,1.00000,2.25205s,70,0.99070,36.59346s,6,0.96424,2.16913s
100,10,6,0.00000,0.99970,36,1.00000,2.49182s,70,0.99191,37.21772s,14,1.00000,2.28018s
100,10,6,0.20000,0.99930,14,0.99453,1.75748s,65,0.98942,19.97963s,9,0.99124,1.90320s
100,10,6,0.20000,0.99950,21,0.99990,1.94394s,61,0.98993,19.97308s,7,0.77900,2.01534s
100,10,6,0.20000,0.99970,34,0.99999,2.25780s,63,0.98798,20.02381s,23,1.00000,2.11380s
100,10,6,0.50000,0.99930,18,0.99052,1.87009s,49,0.98257,19.77299s,19,0.99986,2.02812s
100,10,6,0.50000,0.99950,21,0.99955,2.02081s,57,0.98689,19.86867s,25,1.00000,2.10692s
100,10,6,0.50000,0.99970,34,0.99996,2.22552s,48,0.98669,19.94932s,36,1.00000,2.38439s
100,10,9,0.00000,0.99930,23,1.00000,3.91690s,69,0.99129,58.54359s,4,0.83964,4.68525s
100,10,9,0.00000,0.99950,32,1.00000,4.64579s,67,0.99190,58.55657s,5,0.96228,4.56776s
100,10,9,0.00000,0.99970,36,1.00000,4.21250s,69,0.99212,59.64716s,14,1.00000,4.78062s
100,10,9,0.20000,0.99930,14,0.98105,3.74592s,63,0.99026,42.06933s,7,0.85581,4.05355s
100,10,9,0.20000,0.99950,23,0.99995,3.84599s,53,0.98480,42.55026s,6,0.65688,4.20841s
100,10,9,0.20000,0.99970,36,1.00000,3.93012s,54,0.98704,42.55567s,23,1.00000,4.32937s
100,10,9,0.50000,0.99930,18,0.99903,3.57283s,53,0.97915,42.61389s,19,0.99930,4.22975s
100,10,9,0.50000,0.99950,20,0.99946,4.26182s,57,0.98605,42.65715s,30,1.00000,4.38577s
100,10,9,0.50000,0.99970,36,0.99996,4.12448s,51,0.98389,42.18315s,56,1.00000,4.62843s
100,10,12,0.00000,0.99930,24,1.00000,6.45585s,67,0.99156,91.29960s,4,0.83964,8.82165s
100,10,12,0.00000,0.99950,29,1.00000,6.65199s,63,0.99044,89.64725s,5,0.96228,8.01410s
100,10,12,0.00000,0.99970,38,1.00000,6.78883s,63,0.99189,90.16851s,18,1.00000,8.41418s
100,10,12,0.20000,0.99930,14,0.98105,6.14542s,66,0.99042,75.65256s,7,0.85581,7.32723s
100,10,12,0.20000,0.99950,23,0.99990,6.42894s,59,0.99018,74.90378s,6,0.65688,7.32186s
100,10,12,0.20000,0.99970,39,0.99999,6.61047s,58,0.98615,74.37370s,23,1.00000,7.49817s
100,10,12,0.50000,0.99930,19,0.98267,6.24078s,49,0.97599,75.77894s,22,0.99984,7.42307s
100,10,12,0.50000,0.99950,21,0.99987,6.53077s,61,0.98783,74.55221s,27,1.00000,7.41161s
100,10,12,0.50000,0.99970,33,0.99996,6.96045s,50,0.98473,74.48657s,36,1.00000,7.74781s
100,10,15,0.00000,0.99930,24,1.00000,9.74615s,73,0.99155,133.41336s,4,0.83964,12.09348s
100,10,15,0.00000,0.99950,33,1.00000,10.12501s,68,0.99054,132.78451s,5,0.96228,11.94497s
100,10,15,0.00000,0.99970,40,1.00000,10.26419s,69,0.99191,133.02461s,16,1.00000,11.85029s
100,10,15,0.20000,0.99930,17,0.98526,9.82917s,59,0.98660,116.82891s,7,0.85581,11.41414s
100,10,15,0.20000,0.99950,24,0.99990,9.72621s,61,0.98727,116.64548s,9,0.91076,11.38082s
100,10,15,0.20000,0.99970,33,0.99999,10.11639s,57,0.98559,118.91889s,23,1.00000,11.59114s
100,10,15,0.50000,0.99930,20,0.98595,10.51137s,47,0.97957,116.94580s,22,0.99952,11.64114s
100,10,15,0.50000,0.99950,23,0.99995,10.08186s,50,0.98790,115.54001s,31,1.00000,11.69422s
100,10,15,0.50000,0.99970,38,0.99992,10.22073s,48,0.98346,117.44362s,38,1.00000,11.95975s
100,10,18,0.00000,0.99930,25,1.00000,13.88972s,72,0.99165,184.95376s,4,0.83964,17.75837s
100,10,18,0.00000,0.99950,34,1.00000,14.19947s,67,0.99190,184.02395s,5,0.96228,17.62296s
