Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.99940,15,0.99926,0.46453s,36,0.97071,2.85609s,5,0.89440,0.34730s
100,10,3,0.00000,0.99600,2,0.03096,0.39876s,31,0.96790,2.68797s,2,0.01479,0.29557s
100,10,3,0.00000,0.99980,20,0.99926,0.55456s,41,0.97071,2.72799s,13,1.00000,0.45152s
100,10,3,0.20000,0.99940,14,0.94098,0.40161s,32,0.96920,2.88273s,6,0.52626,0.34016s
100,10,3,0.20000,0.99600,2,-0.04882,0.46938s,25,0.96459,2.86229s,2,-0.29522,0.23702s
100,10,3,0.20000,0.99980,26,0.94020,0.51093s,32,0.96893,2.94290s,18,0.98112,0.50043s
100,10,3,0.50000,0.99940,14,0.91333,0.45963s,31,0.96591,2.68051s,14,0.95210,0.28726s
100,10,3,0.50000,0.99600,3,-0.26944,0.38763s,20,0.95248,2.55838s,2,-1.74225,0.24662s
100,10,3,0.50000,0.99980,24,0.91832,0.52304s,30,0.96535,2.66382s,20,0.97192,0.39088s
100,10,6,0.00000,0.99940,15,0.99926,0.98841s,34,0.97071,8.08947s,5,0.89440,0.86389s
100,10,6,0.00000,0.99600,2,0.03096,0.91371s,32,0.96910,7.98876s,2,0.01479,1.03657s
100,10,6,0.00000,0.99980,22,0.99926,1.10626s,41,0.97071,8.04389s,14,1.00000,0.92581s
100,10,6,0.20000,0.99940,12,0.93267,0.89082s,34,0.96947,8.19098s,10,0.70932,0.92042s
100,10,6,0.20000,0.99600,2,-0.04882,0.76916s,22,0.96326,8.03476s,2,-0.29522,0.77835s
100,10,6,0.20000,0.99980,25,0.94179,1.02857s,33,0.96894,8.24374s,17,0.98726,1.03617s
100,10,6,0.50000,0.99940,10,0.87437,0.92563s,31,0.96630,8.03137s,16,0.97206,0.87164s
100,10,6,0.50000,0.99600,2,-0.42541,0.97902s,18,0.95432,7.88487s,2,-1.74225,0.79617s
100,10,6,0.50000,0.99980,26,0.91832,1.10891s,31,0.96571,8.12389s,29,0.97192,0.94344s
100,10,9,0.00000,0.99940,16,0.99926,1.83099s,35,0.97071,17.86473s,5,0.89440,1.89603s
100,10,9,0.00000,0.99600,2,0.03096,1.74267s,31,0.97060,17.55381s,2,0.01479,1.77402s
100,10,9,0.00000,0.99980,22,0.99926,1.95096s,40,0.97071,17.68679s,13,1.00000,1.91092s
100,10,9,0.20000,0.99940,13,0.93657,1.76160s,33,0.96699,17.53934s,8,0.21548,1.80752s
100,10,9,0.20000,0.99600,2,-0.04882,1.72356s,24,0.96459,17.30655s,2,-0.29522,1.71981s
100,10,9,0.20000,0.99980,28,0.94198,1.90468s,34,0.96916,17.74092s,18,0.98707,1.94151s
100,10,9,0.50000,0.99940,11,0.87466,1.79905s,30,0.96597,17.57957s,16,0.95331,1.81439s
100,10,9,0.50000,0.99600,2,-0.42541,2.02417s,18,0.95432,17.51175s,2,-1.74225,1.74742s
100,10,9,0.50000,0.99980,24,0.91832,1.92789s,33,0.96579,17.74621s,35,0.97275,2.15294s
100,10,12,0.00000,0.99940,16,0.99926,3.04230s,34,0.97069,31.27137s,5,0.89440,3.34027s
100,10,12,0.00000,0.99600,2,0.03096,2.98246s,35,0.97069,31.43451s,2,0.01479,3.31695s
100,10,12,0.00000,0.99980,21,0.99926,3.21531s,39,0.97071,31.37712s,14,1.00000,3.30237s
100,10,12,0.20000,0.99940,13,0.93657,3.05328s,35,0.96946,31.35896s,8,0.21548,3.20826s
100,10,12,0.20000,0.99600,2,-0.04882,2.92556s,23,0.96258,30.61482s,2,-0.29522,3.15959s
100,10,12,0.20000,0.99980,25,0.94198,3.13803s,33,0.96894,31.17605s,18,0.98707,3.26563s
100,10,12,0.50000,0.99940,11,0.87466,3.10759s,30,0.96544,31.33472s,16,0.95331,3.23644s
100,10,12,0.50000,0.99600,2,-0.42541,3.01252s,18,0.95432,30.47679s,2,-1.74225,3.07785s
100,10,12,0.50000,0.99980,22,0.91832,3.17378s,31,0.96588,30.88514s,32,0.97968,3.59812s
100,10,15,0.00000,0.99940,16,0.99926,4.77916s,35,0.97071,49.00107s,5,0.89440,5.21212s
100,10,15,0.00000,0.99600,2,0.03096,4.53257s,31,0.96725,48.24537s,2,0.01479,4.94406s
100,10,15,0.00000,0.99980,21,0.99926,4.85353s,41,0.97071,48.86393s,14,1.00000,5.21690s
100,10,15,0.20000,0.99940,13,0.93657,4.63614s,32,0.96916,47.18584s,8,0.21548,5.04377s
100,10,15,0.20000,0.99600,2,-0.04882,4.55344s,22,0.96152,47.65659s,2,-0.29522,4.88539s
100,10,15,0.20000,0.99980,26,0.94177,5.02102s,33,0.96894,48.61544s,25,0.98538,5.14040s
100,10,15,0.50000,0.99940,12,0.88235,4.72480s,30,0.96616,49.39947s,16,0.95331,5.09323s
100,10,15,0.50000,0.99600,2,-0.42541,4.60937s,18,0.95432,48.46309s,2,-1.74225,5.03019s
100,10,15,0.50000,0.99980,23,0.91832,4.88444s,32,0.96591,49.07268s,33,0.97144,5.26941s
100,10,18,0.00000,0.99940,16,0.99926,6.62959s,38,0.97071,70.48854s,5,0.89440,7.49423s
100,10,18,0.00000,0.99600,2,0.03096,6.52757s,31,0.96790,70.19076s,2,0.01479,7.08981s
100,10,18,0.00000,0.99980,22,0.99926,6.86774s,41,0.97071,70.65304s,13,1.00000,7.43622s
100,10,18,0.20000,0.99940,13,0.93657,6.87898s,33,0.96934,70.83907s,8,0.21548,7.23251s
100,10,18,0.20000,0.99600,2,-0.04882,6.51734s,26,0.96486,70.59934s,2,-0.29522,7.00232s
100,10,18,0.20000,0.99980,21,0.94061,6.98635s,34,0.96916,69.92400s,18,0.98707,7.50718s
100,10,18,0.50000,0.99940,12,0.88235,6.72285s,33,0.96624,69.37074s,16,0.95331,7.47400s
100,10,18,0.50000,0.99600,2,-0.42541,6.58437s,18,0.95432,69.29462s,2,-1.74225,7.57333s
100,10,18,0.50000,0.99980,22,0.91844,7.42253s,30,0.96567,69.68834s,37,0.97144,7.60690s
100,15,3,0.00000,0.99940,15,0.99926,0.87428s,39,0.97071,4.30267s,5,0.89440,0.50739s
100,15,3,0.00000,0.99600,2,0.03096,0.56350s,31,0.96790,4.14708s,2,0.01479,0.45590s
100,15,3,0.00000,0.99980,20,0.99926,1.28919s,41,0.97071,4.78244s,13,1.00000,0.64184s
100,15,3,0.20000,0.99940,14,0.94098,0.53648s,32,0.96921,4.43857s,6,0.52626,0.50943s
100,15,3,0.20000,0.99600,2,-0.04882,0.52017s,25,0.96459,4.09737s,2,-0.29522,0.38700s
100,15,3,0.20000,0.99980,26,0.94020,0.71085s,36,0.96954,4.37947s,16,0.98057,0.82573s
100,15,3,0.50000,0.99940,14,0.91333,0.60327s,34,0.96586,4.31439s,14,0.95210,0.49366s
100,15,3,0.50000,0.99600,3,-0.26944,0.60793s,20,0.95248,4.06066s,2,-1.74225,0.39150s
