Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.99930,22,1.00000,1.39043s,93,0.99960,34.26157s,4,0.77746,1.16437s
100,10,3,0.00000,0.99950,30,1.00000,1.75392s,85,0.99881,31.41695s,7,0.93355,1.18853s
100,10,3,0.00000,0.99970,41,1.00000,1.90805s,85,0.99989,31.59049s,12,0.97064,1.18875s
100,10,3,0.20000,0.99930,16,0.96037,0.96622s,56,0.98662,10.81426s,21,1.00000,1.13625s
100,10,3,0.20000,0.99950,21,0.99343,1.15245s,73,0.99353,10.65062s,7,0.13441,0.93973s
100,10,3,0.20000,0.99970,40,0.99999,1.55724s,67,0.99266,10.86280s,22,1.00000,1.07495s
100,10,3,0.50000,0.99930,17,0.96669,1.00102s,66,0.99039,10.81632s,19,0.99925,1.16196s
100,10,3,0.50000,0.99950,19,0.98890,1.11056s,55,0.98676,10.53181s,23,1.00000,1.25909s
100,10,3,0.50000,0.99970,40,0.99997,1.62546s,71,0.98750,10.82705s,38,1.00000,1.48619s
100,10,6,0.00000,0.99930,22,1.00000,2.61036s,81,0.99670,50.27014s,4,0.77746,2.58480s
100,10,6,0.00000,0.99950,35,1.00000,3.01701s,78,0.99842,50.19017s,7,0.94786,3.04289s
100,10,6,0.00000,0.99970,42,1.00000,3.14975s,85,0.99985,51.18959s,14,1.00000,2.80771s
100,10,6,0.20000,0.99930,16,0.95964,2.28265s,57,0.98842,30.92528s,17,0.99684,2.69862s
100,10,6,0.20000,0.99950,22,0.99989,2.48022s,77,0.99482,31.34653s,8,0.22423,2.43533s
100,10,6,0.20000,0.99970,42,0.99999,2.83244s,70,0.99195,31.29677s,23,1.00000,2.58784s
100,10,6,0.50000,0.99930,17,0.98919,2.25514s,58,0.98487,30.72330s,17,0.97931,2.53295s
100,10,6,0.50000,0.99950,18,0.97674,2.45478s,50,0.98052,30.71719s,24,1.00000,2.52151s
100,10,6,0.50000,0.99970,41,0.99997,2.81818s,61,0.98764,31.02216s,70,1.00000,3.28945s
100,10,9,0.00000,0.99930,23,1.00000,4.78800s,81,0.99670,85.30139s,4,0.77746,5.68112s
100,10,9,0.00000,0.99950,35,1.00000,5.20016s,83,0.99849,85.97579s,7,0.94786,5.39964s
100,10,9,0.00000,0.99970,41,1.00000,5.26544s,84,0.99958,86.85019s,12,1.00000,5.37861s
100,10,9,0.20000,0.99930,18,0.98430,4.42839s,70,0.99222,66.74585s,6,0.32197,5.12157s
100,10,9,0.20000,0.99950,23,0.99993,4.70742s,65,0.98959,65.69814s,9,0.36772,4.95798s
100,10,9,0.20000,0.99970,43,0.99999,4.99277s,73,0.99196,65.89107s,22,1.00000,5.16231s
100,10,9,0.50000,0.99930,18,0.98919,4.43589s,72,0.99228,66.69906s,15,0.99778,5.13256s
100,10,9,0.50000,0.99950,18,0.96752,4.68840s,49,0.98294,65.37508s,24,1.00000,5.16556s
100,10,9,0.50000,0.99970,45,0.99997,5.03302s,83,0.99415,66.27870s,77,1.00000,6.04667s
100,10,12,0.00000,0.99930,23,1.00000,8.16518s,93,0.99813,142.43822s,4,0.77746,8.95979s
100,10,12,0.00000,0.99950,34,1.00000,8.65423s,78,0.99816,136.94503s,8,0.94938,9.25169s
100,10,12,0.00000,0.99970,39,1.00000,9.34032s,85,0.99958,132.48777s,14,1.00000,9.22691s
100,10,12,0.20000,0.99930,18,0.98430,7.61248s,57,0.98882,115.31872s,14,0.99815,8.95005s
100,10,12,0.20000,0.99950,22,0.99130,7.91462s,74,0.99476,117.11391s,8,0.77903,8.86494s
100,10,12,0.20000,0.99970,36,0.99999,8.09348s,68,0.98975,116.83778s,21,1.00000,8.89145s
100,10,12,0.50000,0.99930,18,0.99281,7.65582s,59,0.98309,114.84972s,27,0.99998,9.59072s
100,10,12,0.50000,0.99950,19,0.96733,8.01266s,57,0.98583,117.79590s,27,1.00000,9.59983s
100,10,12,0.50000,0.99970,42,0.99993,8.28185s,70,0.98878,115.79234s,42,1.00000,9.54022s
100,10,15,0.00000,0.99930,23,1.00000,12.09024s,84,0.99921,200.13112s,4,0.77746,14.07778s
100,10,15,0.00000,0.99950,39,1.00000,12.49951s,77,0.99816,201.08553s,7,0.94786,14.01739s
100,10,15,0.00000,0.99970,42,1.00000,12.46800s,80,0.99985,199.80055s,15,1.00000,14.56756s
100,10,15,0.20000,0.99930,18,0.98430,11.48765s,78,0.99449,181.44597s,6,0.30420,13.49468s
100,10,15,0.20000,0.99950,24,0.99973,11.81832s,84,0.99531,181.32684s,12,0.97900,13.48262s
100,10,15,0.20000,0.99970,45,1.00000,12.23574s,66,0.99168,182.33448s,23,1.00000,13.69045s
100,10,15,0.50000,0.99930,18,0.98938,11.54667s,59,0.98811,181.76612s,29,0.99999,14.10078s
100,10,15,0.50000,0.99950,19,0.96751,11.85154s,50,0.97445,181.42300s,23,1.00000,13.67528s
100,10,15,0.50000,0.99970,42,0.99994,12.30116s,67,0.98535,180.39895s,67,1.00000,14.38363s
100,10,18,0.00000,0.99930,24,1.00000,17.02804s,84,0.99764,284.72463s,4,0.77746,22.12319s
100,10,18,0.00000,0.99950,38,1.00000,17.10606s,82,0.99716,281.86833s,7,0.94786,20.11589s
100,10,18,0.00000,0.99970,39,1.00000,17.09624s,80,0.99982,280.16163s,14,1.00000,20.67979s
100,10,18,0.20000,0.99930,19,0.99643,16.77939s,52,0.98694,262.12978s,6,0.29809,19.40337s
100,10,18,0.20000,0.99950,26,0.99996,17.07923s,75,0.99454,261.78605s,8,0.87065,19.79990s
100,10,18,0.20000,0.99970,44,0.99999,17.16020s,68,0.98863,265.21184s,24,1.00000,19.92372s
100,10,18,0.50000,0.99930,19,0.99281,17.47026s,57,0.98718,260.35869s,18,0.99842,20.01008s
100,10,18,0.50000,0.99950,21,0.99752,16.82457s,47,0.97358,260.04521s,28,1.00000,20.35995s
100,10,18,0.50000,0.99970,42,0.99993,17.21236s,66,0.98780,257.74991s,47,1.00000,20.73853s
100,15,3,0.00000,0.99930,22,1.00000,2.11919s,88,0.99945,37.67655s,4,0.77746,1.77942s
