Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.99930,17,0.99926,0.66705s,50,0.98164,4.16912s,3,0.08859,0.52625s
100,10,3,0.00000,0.99950,19,0.99926,0.78986s,52,0.98167,16.47290s,6,0.89298,0.54229s
100,10,3,0.00000,0.99970,25,0.99926,0.74846s,53,0.98167,16.77116s,7,0.72184,0.55155s
100,10,3,0.20000,0.99930,14,0.93850,0.50186s,51,0.98017,4.21636s,4,0.24125,0.37948s
100,10,3,0.20000,0.99950,18,0.94100,0.59385s,50,0.98038,4.17273s,11,0.98909,0.49589s
100,10,3,0.20000,0.99970,28,0.93772,0.71825s,47,0.98023,4.17258s,17,0.97976,0.48148s
100,10,3,0.50000,0.99930,14,0.91297,0.51009s,48,0.97725,4.33221s,14,0.95613,0.48575s
100,10,3,0.50000,0.99950,18,0.92285,0.60958s,45,0.97693,4.22548s,21,0.98014,0.50550s
100,10,3,0.50000,0.99970,30,0.92544,0.67736s,50,0.97720,4.21083s,24,0.97701,0.64702s
100,10,6,0.00000,0.99930,17,0.99926,1.29978s,50,0.98167,11.97130s,3,0.34261,1.23634s
100,10,6,0.00000,0.99950,19,0.99926,1.33887s,47,0.98167,12.30622s,6,0.94185,1.37333s
100,10,6,0.00000,0.99970,22,0.99926,1.38081s,50,0.98167,12.46132s,8,0.97505,1.25601s
100,10,6,0.20000,0.99930,13,0.86009,1.10660s,43,0.97952,12.51835s,4,-0.13091,1.13965s
100,10,6,0.20000,0.99950,14,0.93255,1.14523s,48,0.98028,12.59021s,9,0.31986,1.14254s
100,10,6,0.20000,0.99970,31,0.94216,1.58415s,47,0.98033,12.23140s,17,0.98011,1.11136s
100,10,6,0.50000,0.99930,13,0.90098,1.12173s,41,0.97652,12.51198s,18,0.96642,1.20690s
100,10,6,0.50000,0.99950,15,0.90733,1.18172s,46,0.97662,12.43534s,22,0.97823,1.26603s
100,10,6,0.50000,0.99970,30,0.92433,1.59181s,44,0.97696,12.53758s,23,0.97833,1.31799s
100,10,9,0.00000,0.99930,17,0.99926,2.28506s,49,0.98164,26.92065s,3,0.34261,2.46525s
